Gene_Name,TPM_uncorrected,,Global_Frequency,Present_in_Transcripts,Transcript_Length,TPM_corrected_GSB,Fixed Mean (xc),Fixed Standard Deviation (w),Report,,Gene_Name,ratio(corrected/uncorrected),TPM_uncorrected,TPM_corrected_GSB
OR6K1P,3.877712824,,1,OR6K1P|ENST00000456766.1,922,2.13,43.99,6.8,OK,,,,,
OR6K2,0,,1,OR6K2|ENST00000359610.3,926,0,44.81,4.92,OK,,,,,
OR6K3,0.313800442,,1,OR6K3|ENST00000368145.2,1824,0.34,43.36,8.89,OK,,,,,
OR6K4P,0,,1,OR6K4P|ENST00000423179.1,906,0,45.8,8.37,OK,,,,,
OR6K5P,0,,1,OR6K5P|ENST00000447050.1,896,0,44.78,7,OK,,,,,
OR6K6,0,,1,OR6K6|ENST00000641861.1,1123,0,46.16,5.89,OK,,,,,
OR6L1P,0.318471522,,1,OR6L1P|ENST00000441446.1,1107,0.36,58.35,5.38,OK,,,,,
OR6L2P,0.402452026,,1,OR6L2P|ENST00000608207.1,876,0.44,59.01,4.92,OK,,,,,
OR6M1,0,,1,OR6M1|ENST00000309154.3,893,0,45.51,8.06,OK,,,,,
OR6M2P,0.383478547,,1,OR6M2P|ENST00000529831.1,822,0.35,45.55,7.88,OK,,,,,
OR6M3P,0,,1,OR6M3P|ENST00000531567.1,651,0,47.17,10.19,OK,,,,,
OR6N1,0,,2,"OR6N1|ENST00000641189.1, OR6N1|ENST00000641846.1",2677,0,41.64,16.53,OK,,,,,
OR6N2,0,,1,OR6N2|ENST00000641131.1,3406,0,36.2,10.4,OK,,,,,
OR6P1,0,,1,OR6P1|ENST00000641540.1,3206,0,38.22,10.25,OK,,,,,
OR6Q1,0,,1,OR6Q1|ENST00000302622.4,905,0,47.99,5.2,OK,,,,,
OR6R1P,0,,1,OR6R1P|ENST00000431838.1,891,0,50.46,7.55,OK,,,,,
OR6R2P,0,,1,OR6R2P|ENST00000609216.1,251,0,50.89,8.47,OK,,,,,
OR6S1,0,,1,OR6S1|ENST00000320704.3,947,0,49.44,10.33,OK,,,,,
OR6T1,0,,1,OR6T1|ENST00000321252.3,923,0,51.58,4.66,OK,,,,,
OR6U2P,0,,1,OR6U2P|ENST00000607990.1,883,0,49.25,5.65,OK,,,,,
OR6V1,0,,1,OR6V1|ENST00000615548.1,979,0,52.36,6.25,OK,,,,,
OR6W1P,6.967673044,,2,"OR6W1P|ENST00000631583.1, OR6W1P|ENST00000490285.1",1987,5.09,53.99,6.52,OK,,,,,
OR6X1,0.358839313,,1,OR6X1|ENST00000327930.3,890,0.41,46.3,8.8,OK,,,,,
OR6Y1,1.071894047,,2,"OR6Y1|ENST00000641282.1, OR6Y1|ENST00000641622.1",5127,1.19,38.85,9.78,OK,,,,,
OR7A10,0.016147588,,1,OR7A10|ENST00000641129.1,1798,0.01,44.14,7.93,OK,,,,,
OR7A11P,0,,1,OR7A11P|ENST00000597719.1,904,0,47.72,7.44,OK,,,,,
OR7A15P,0.774532816,,1,OR7A15P|ENST00000449848.3,1071,0.89,44.99,6.95,OK,,,,,
OR7A17,12.92174283,,1,OR7A17|ENST00000642123.1,3707,11.1,42.82,12.21,OK,,,,,
OR7A18P,0,,1,OR7A18P|ENST00000600416.1,228,0,50.41,7.11,OK,,,,,
OR7A19P,2.634892058,,1,OR7A19P|ENST00000608051.1,1423,3.19,48.61,20.14,OK,,,,,
OR7A1P,0.031523738,,1,OR7A1P|ENST00000601206.2,921,0.02,45.93,7.57,OK,,,,,
OR7A2P,0,,1,OR7A2P|ENST00000304105.2,881,0,46.92,7.06,OK,,,,,
OR7A3P,0,,1,OR7A3P|ENST00000595284.1,858,0,45.41,7,OK,,,,,
OR7A5,0.013688526,,1,OR7A5|ENST00000322301.5,2121,0.01,41.38,10.12,OK,,,,,
OR7A8P,0.033603429,,1,OR7A8P|ENST00000595427.1,864,0.03,45.53,8.69,OK,,,,,
OR7C1,2.620736175,,5,"OR7C1|ENST00000672931.1, OR7C1|ENST00000601611.6, OR7C1|ENST00000641666.2, OR7C1|ENST00000642030.1, OR7C1|ENST00000642000.1",12346,1.86,39.58,11.67,OK,,,,,
OR7C2,0.031869772,,1,OR7C2|ENST00000248072.3,911,0.04,51.03,8.28,OK,,,,,
OR7D1P,0,,1,OR7D1P|ENST00000592739.1,884,0,51.31,5.15,OK,,,,,
OR7D2,10.08547528,,2,"OR7D2|ENST00000642043.1, OR7D2|ENST00000641288.2",3459,9.88,44.08,12.18,OK,,,,,
OR7D4,3.367550374,,2,"OR7D4|ENST00000641669.1, OR7D4|ENST00000641244.1",4982,2.25,45.53,13.1,OK,,,,,
OR7E100P,6.740470934,,1,OR7E100P|ENST00000489105.1,3556,5.99,44.84,8.49,OK,,,,,
OR7E101P,0.080449588,,1,OR7E101P|ENST00000400428.2,464,0.04,46.1,7.29,OK,,,,,
OR7E102P,0.285761443,,2,"OR7E102P|ENST00000448855.1, OR7E102P|ENST00000709652.1",1016,0.33,48.7,9.59,OK,,,,,
OR7E103P,0.322379068,,1,OR7E103P|ENST00000509361.1,862,0.38,48.93,9.82,OK,,,,,
OR7E104P,0,,1,OR7E104P|ENST00000400311.3,414,0,46.23,8.54,OK,,,,,
OR7E105P,0.29876947,,1,OR7E105P|ENST00000555893.1,944,0.41,51.78,10.51,OK,,,,,
OR7E106P,2.79921897,,1,OR7E106P|ENST00000556941.1,972,3.17,45.69,9.52,OK,,,,,
OR7E108P,2.452589992,,1,OR7E108P|ENST00000605227.1,1314,2.61,47.26,12.83,OK,,,,,
OR7E109P,2.356838014,,1,OR7E109P|ENST00000445529.1,806,2.22,48.32,8.82,OK,,,,,
OR7E10P,1.728265634,,2,"OR7E10P|ENST00000526420.1, OR7E10P|ENST00000647084.1",3871,1.94,41.97,8.94,OK,,,,,
OR7E110P,0.173805164,,1,OR7E110P|ENST00000431186.2,525,0.18,53.17,6.72,OK,,,,,
OR7E111FP,2.555299869,,1,OR7E111FP|ENST00000504939.1,1094,1.32,49.98,12.26,OK,,,,,
OR7E111P,0.055874717,,1,OR7E111P|ENST00000442229.2,965,0.07,49.61,10.07,OK,,,,,
OR7E115P,0.178666847,,1,OR7E115P|ENST00000382617.4,975,0.22,47.72,9.47,OK,,,,,
OR7E116P,5.685795656,,1,OR7E116P|ENST00000448529.1,1448,5.23,48.48,13.49,OK,,,,,
OR7E117P,0.819379942,,1,OR7E117P|ENST00000422682.1,1063,0.95,47.8,10.49,OK,,,,,
OR7E11P,4.434514164,,1,OR7E11P|ENST00000532901.1,1012,5.12,48.54,8.54,OK,,,,,
OR7E121P,1.341878104,,1,OR7E121P|ENST00000494533.2,1768,1.08,54.24,10.82,OK,,,,,
OR7E122P,0,,1,OR7E122P|ENST00000383606.3,968,0,48.24,9.91,OK,,,,,
OR7E125P,0.219319949,,1,OR7E125P|ENST00000647490.1,2345,0.29,48.87,11.89,OK,,,,,
OR7E126P,1.620526475,,1,OR7E126P|ENST00000526217.1,1615,1.87,51.39,7.46,OK,,,,,
OR7E128P,0.27576291,,1,OR7E128P|ENST00000532736.1,1113,0.36,50.25,9.89,OK,,,,,
OR7E129P,0.704057915,,1,OR7E129P|ENST00000504655.1,919,0.87,49.09,9.48,OK,,,,,
OR7E12P,3.766077802,,1,OR7E12P|ENST00000344740.4,924,4.36,48.3,8.28,OK,,,,,
OR7E130P,0.358100803,,1,OR7E130P|ENST00000509527.1,915,0.5,50.91,11.03,OK,,,,,
OR7E136P,0.145982598,,1,OR7E136P|ENST00000496207.1,966,0.2,51.67,10.36,OK,,,,,
OR7E13P,0.708130795,,1,OR7E13P|ENST00000526052.1,861,0.96,48.21,9.74,OK,,,,,
OR7E140P,0.360847466,,1,OR7E140P|ENST00000425390.2,977,0.56,52.36,11.95,OK,,,,,
OR7E145P,4.649052306,,1,OR7E145P|ENST00000524910.1,1340,2.87,54.54,16.41,OK,,,,,
OR7E148P,3.783244182,,1,OR7E148P|ENST00000439409.2,922,4.08,50.12,7.25,OK,,,,,
OR7E149P,0.361958906,,1,OR7E149P|ENST00000544395.1,974,0.48,50.84,9.23,OK,,,,,
OR7E14P,10.9818247,,1,OR7E14P|ENST00000526721.2,951,12.15,46.88,9.08,OK,,,,,
OR7E154P,0.341051247,,1,OR7E154P|ENST00000525174.1,1508,0.42,51.66,7.68,OK,,,,,
OR7E155P,0.094557214,,1,OR7E155P|ENST00000412208.2,965,0.12,51.63,10.6,OK,,,,,
OR7E156P,0,,1,OR7E156P|ENST00000400303.3,415,0,46.7,8.23,OK,,,,,
OR7E157P,0.714312889,,2,"OR7E157P|ENST00000626455.1, OR7E157P|ENST00000494376.1",1080,0.66,51.01,10.82,OK,,,,,
OR7E158P,0.580451604,,1,OR7E158P|ENST00000710699.1,2308,0.69,47.35,8.87,OK,,,,,
OR7E159P,0,,1,OR7E159P|ENST00000553761.1,249,0,49.18,48.68,OK,,,,,
OR7E15P,0.917411086,,1,OR7E15P|ENST00000646047.1,1076,0.8,47.33,9.74,OK,,,,,
OR7E161P,1.760652143,,1,OR7E161P|ENST00000646024.1,1788,0.89,49.18,9.73,OK,,,,,
OR7E162P,3.317649949,,1,OR7E162P|ENST00000398413.5,1849,3.57,47.82,6.83,OK,,,,,
OR7E163P,0.608645302,,1,OR7E163P|ENST00000505943.1,845,0.77,49.32,10.67,OK,,,,,
OR7E16P,0.143876882,,1,OR7E16P|ENST00000592975.1,836,0.2,47.88,8.79,OK,,,,,
OR7E18P,0.209604237,,1,OR7E18P|ENST00000592589.1,653,0.12,45.69,7.33,OK,,,,,
OR7E19P,0,,1,OR7E19P|ENST00000589942.1,795,0,45.88,12.97,OK,,,,,
OR7E1P,0.579480913,,1,OR7E1P|ENST00000533891.1,909,0.72,49.99,9.15,OK,,,,,
OR7E21P,3.431295976,,1,OR7E21P|ENST00000514634.1,938,3.66,48.72,8.12,OK,,,,,
OR7E22P,0.016826058,,1,OR7E22P|ENST00000478335.2,986,0.02,48.6,10.61,OK,,,,,
OR7E23P,1.64383939,,1,OR7E23P|ENST00000435600.2,3545,1.91,42.12,13.38,OK,,,,,
OR7E24,0.063774547,,1,OR7E24|ENST00000641946.1,1821,0.06,42.51,11.95,OK,,,,,
OR7E25P,0.028215124,,1,OR7E25P|ENST00000344844.4,882,0.04,51.75,14.75,OK,,,,,
OR7E26P,2.015302823,,1,OR7E26P|ENST00000502808.2,957,2.38,48.03,9.78,OK,,,,,
OR7E28P,1.735737879,,1,OR7E28P|ENST00000505191.2,4251,1.74,41.04,9.19,OK,,,,,
OR7E29P,2.354187078,,1,OR7E29P|ENST00000463158.1,858,2.7,49.2,10.64,OK,,,,,
OR7E2P,0.177755281,,1,OR7E2P|ENST00000533071.1,840,0.24,49.63,11.07,OK,,,,,
OR7E31P,2.898876451,,1,OR7E31P|ENST00000426212.2,837,2.63,48.91,9.05,OK,,,,,
OR7E33P,3.885287191,,1,OR7E33P|ENST00000437705.2,917,4.3,47.83,8.94,OK,,,,,
OR7E35P,0.213643115,,1,OR7E35P|ENST00000514144.1,3378,0.23,48.67,9.29,OK,,,,,
OR7E36P,8.107343086,,1,OR7E36P|ENST00000419933.2,905,9.28,48.41,8.86,OK,,,,,
OR7E37P,4.877861141,,1,OR7E37P|ENST00000421076.2,1295,5.8,48.51,9.54,OK,,,,,
OR7E38P,17.86225346,,1,OR7E38P|ENST00000442908.2,936,19.64,48.82,10.2,OK,,,,,
OR7E39P,9.456580963,,1,OR7E39P|ENST00000609433.1,1525,9.97,43.1,7.13,OK,,,,,
OR7E41P,2.77681725,,1,OR7E41P|ENST00000515189.2,1885,3.17,41.29,11.75,OK,,,,,
OR7E43P,1.690477895,,1,OR7E43P|ENST00000503910.1,871,1.58,47.65,8.05,OK,,,,,
OR7E46P,1.436702479,,1,OR7E46P|ENST00000503990.2,970,1.23,48.46,8.57,OK,,,,,
OR7E47P,1.277556674,,1,OR7E47P|ENST00000548970.2,935,1.24,47.81,10.94,OK,,,,,
OR7E4P,0.34359009,,1,OR7E4P|ENST00000530317.1,1183,0.3,49.16,12.49,OK,,,,,
OR7E53P,2.634104577,,1,OR7E53P|ENST00000418098.2,855,3.08,49.23,7.77,OK,,,,,
OR7E55P,3.833855042,,2,"OR7E55P|ENST00000504027.1, OR7E55P|ENST00000673346.1",846,3.93,48.08,8.26,OK,,,,,
OR7E59P,1.673262331,,1,OR7E59P|ENST00000508367.2,1284,1.63,46.66,8.97,OK,,,,,
OR7E5P,0.176763243,,1,OR7E5P|ENST00000529916.1,657,0.26,51.21,14.42,OK,,,,,
OR7E62P,3.050470924,,1,OR7E62P|ENST00000456741.1,3425,1.96,51.77,10.66,OK,,,,,
OR7E66P,3.431043015,,1,OR7E66P|ENST00000479200.1,1748,3.51,49.12,8.72,OK,,,,,
OR7E7P,3.350571078,,1,OR7E7P|ENST00000455678.1,1405,3.99,51.05,10.99,OK,,,,,
OR7E83P,0.304802079,,1,OR7E83P|ENST00000511021.1,1075,0.42,52.28,10.41,OK,,,,,
OR7E84P,3.448440125,,1,OR7E84P|ENST00000641103.1,961,3.8,49.22,6.49,OK,,,,,
OR7E85BP,0.225977202,,1,OR7E85BP|ENST00000508957.1,881,0.31,47.97,11.29,OK,,,,,
OR7E85P,0.257010841,,1,OR7E85P|ENST00000512164.1,936,0.36,48.96,11.18,OK,,,,,
OR7E86P,1.320026176,,1,OR7E86P|ENST00000505858.1,2875,1.59,41.23,9.5,OK,,,,,
OR7E87P,0.47603403,,1,OR7E87P|ENST00000532397.1,880,0.7,50.58,10.64,OK,,,,,
OR7E89P,0.198527891,,1,OR7E89P|ENST00000411729.1,773,0.25,48.1,8.92,OK,,,,,
OR7E8P,0.095949223,,2,"OR7E8P|ENST00000532847.1, OR7E8P|ENST00000642607.1",951,0.12,50.87,10.6,OK,,,,,
OR7E90P,0.224310236,,1,OR7E90P|ENST00000454836.1,980,0.27,50.21,9.61,OK,,,,,
OR7E91P,0.319343904,,1,OR7E91P|ENST00000400027.3,1078,0.39,48.95,8.36,OK,,,,,
OR7E93P,0.265873284,,1,OR7E93P|ENST00000508347.1,858,0.36,48.74,9.69,OK,,,,,
OR7E94P,0.893334234,,1,OR7E94P|ENST00000502331.2,325,0.92,51.02,5.43,OK,,,,,
OR7E96P,0.248148398,,2,"OR7E96P|ENST00000530816.1, OR7E96P|ENST00000711090.1",1989,0.31,49.85,10.56,OK,,,,,
OR7E97P,0.133101781,,1,OR7E97P|ENST00000466578.1,966,0.17,48.47,10.51,OK,,,,,
OR7E99P,0.741156041,,1,OR7E99P|ENST00000505750.1,873,0.92,49.92,9.18,OK,,,,,
OR7G1,0,,1,OR7G1|ENST00000541538.1,887,0,44.86,6.01,OK,,,,,
OR7G15P,0,,1,OR7G15P|ENST00000617262.1,284,0,44.87,12.59,OK,,,,,
OR7G2,5.671867774,,1,OR7G2|ENST00000641081.1,2966,4.75,47.83,10.25,OK,,,,,
OR7G3,0,,1,OR7G3|ENST00000305444.2,890,0,48.38,8.88,OK,,,,,
OR7H1P,0,,1,OR7H1P|ENST00000448965.1,873,0,52.28,8.25,OK,,,,,
OR7H2P,0,,1,OR7H2P|ENST00000513483.2,257,0,45.56,8.22,OK,,,,,
OR7K1P,1.456159187,,1,OR7K1P|ENST00000546439.1,3925,1.59,40.45,8.23,OK,,,,,
OR7L1P,0,,1,OR7L1P|ENST00000456181.2,477,0,38.58,6.66,OK,,,,,
OR7M1P,1.413962465,,1,OR7M1P|ENST00000608946.1,484,2.02,49.29,11.57,OK,,,,,
OR8A1,3.458873068,,1,OR8A1|ENST00000641670.1,6034,3.71,41.03,12.22,OK,,,,,
OR8A2P,0,,1,OR8A2P|ENST00000528631.1,903,0,44.24,7.07,OK,,,,,
OR8A3P,0,,1,OR8A3P|ENST00000528904.1,1072,0,42.44,7.21,OK,,,,,
OR8B10P,0,,1,OR8B10P|ENST00000529692.1,883,0,45.53,10.32,OK,,,,,
OR8B12,0,,1,OR8B12|ENST00000641958.1,2031,0,44.09,9.94,OK,,,,,
OR8B1P,0,,1,OR8B1P|ENST00000419328.2,869,0,43.67,7.42,OK,,,,,
OR8B2,0,,1,OR8B2|ENST00000641451.2,1044,0,40.76,6.11,OK,,,,,
OR8B3,0,,1,OR8B3|ENST00000641139.1,2121,0,36.99,7.55,OK,,,,,
OR8B4,0,,1,OR8B4|ENST00000356130.7,881,0,43.96,6.68,OK,,,,,
OR8B5P,0,,1,OR8B5P|ENST00000533932.1,861,0,41,8.12,OK,,,,,
OR8B6P,0,,1,OR8B6P|ENST00000525146.1,831,0,42.7,6.34,OK,,,,,
OR8B7P,0,,1,OR8B7P|ENST00000526868.1,870,0,40.5,12.76,OK,,,,,
OR8B8,0.02222508,,1,OR8B8|ENST00000642064.1,3919,0.02,44.36,8.17,OK,,,,,
OR8B9P,0,,1,OR8B9P|ENST00000419756.2,876,0,44.67,7.82,OK,,,,,
OR8C1P,0,,1,OR8C1P|ENST00000427511.1,876,0,41.87,8.5,OK,,,,,
OR8D1,0,,1,OR8D1|ENST00000641015.1,8455,0,34.09,10.53,OK,,,,,
OR8D2,0,,1,OR8D2|ENST00000624618.2,887,0,42.55,6.28,OK,,,,,
OR8D4,1.753844522,,1,OR8D4|ENST00000641687.1,3124,1.73,36.38,9.93,OK,,,,,
OR8F1P,0,,1,OR8F1P|ENST00000425243.1,881,0,45.96,5.92,OK,,,,,
OR8G1,0,,1,OR8G1|ENST00000641972.1,5006,0,35.26,9.32,OK,,,,,
OR8G2P,0,,1,OR8G2P|ENST00000412796.2,886,0,45.95,6.11,OK,,,,,
OR8G3P,0,,2,"OR8G3P|ENST00000641848.1, OR8G3P|ENST00000641572.1",1343,0,44.93,7.41,OK,,,,,
OR8G5,0,,1,OR8G5|ENST00000641992.2,1629,0,43.04,11.27,OK,,,,,
OR8G7P,0,,1,OR8G7P|ENST00000616658.1,799,0,42.27,7.34,OK,,,,,
OR8H1,0.07858053,,3,"OR8H1|ENST00000313022.2, OR8H1|ENST00000709018.1, OR8H1|ENST00000626711.1",2903,0.08,36.6,9.02,OK,,,,,
OR8H2,0.004024214,,2,"OR8H2|ENST00000313503.2, OR8H2|ENST00000641311.1",3092,0,33.09,10.47,OK,,,,,
OR8H3,0,,1,OR8H3|ENST00000313472.3,890,0,41.65,5.92,OK,,,,,
OR8I1P,0,,3,"OR8I1P|ENST00000627820.1, OR8I1P|ENST00000708992.1, OR8I1P|ENST00000529291.1",882,0,40.48,4.8,OK,,,,,
OR8I2,0,,1,OR8I2|ENST00000302124.8,884,0,41.29,5.55,OK,,,,,
OR8I4P,0,,1,OR8I4P|ENST00000526965.1,92,0,40.46,3.76,OK,,,,,
OR8J1,11.53808326,,3,"OR8J1|ENST00000574644.1, OR8J1|ENST00000709011.1, OR8J1|ENST00000303039.3",2017,11.57,38.07,12,OK,,,,,
OR8J2,0,,3,"OR8J2|ENST00000570683.3, OR8J2|ENST00000641465.1, OR8J2|ENST00000708991.1",2834,0,37.89,10.71,OK,,,,,
OR8J3,0.415305917,,1,OR8J3|ENST00000641489.1,3815,0.14,29.28,8.92,OK,,,,,
OR8K1,0,,3,"OR8K1|ENST00000709014.1, OR8K1|ENST00000574800.2, OR8K1|ENST00000279783.5",911,0,39.29,6.42,OK,,,,,
OR8K2P,0,,3,"OR8K2P|ENST00000524645.1, OR8K2P|ENST00000628251.1, OR8K2P|ENST00000708994.1",878,0,35.81,6.04,OK,,,,,
OR8K3,0,,5,"OR8K3|ENST00000641662.1, OR8K3|ENST00000641689.1, OR8K3|ENST00000573400.1, OR8K3|ENST00000709019.1, OR8K3|ENST00000709020.1",2409,0,33.73,8.89,OK,,,,,
OR8K4P,0,,1,OR8K4P|ENST00000534608.1,823,0,34.54,6.05,OK,,,,,
OR8K5,0,,1,OR8K5|ENST00000313447.1,875,0,38.35,6.27,OK,,,,,
OR8L1P,0,,3,"OR8L1P|ENST00000625334.1, OR8L1P|ENST00000534005.1, OR8L1P|ENST00000708997.1",906,0,36.5,5.55,OK,,,,,
OR8Q1P,0,,1,OR8Q1P|ENST00000526467.1,606,0,41.35,11.49,OK,,,,,
OR8R1P,0.83055365,,1,OR8R1P|ENST00000543943.1,5643,0.83,64.1,6.69,OK,,,,,
OR8S1,0,,1,OR8S1|ENST00000641651.1,890,0,49.52,7.84,OK,,,,,
OR8S21P,0,,1,OR8S21P|ENST00000609970.1,139,0,N/A,N/A,Not enough distinct GC contents,,,,,
OR8T1P,0,,1,OR8T1P|ENST00000421347.2,869,0,48.95,5.41,OK,,,,,
OR8U1,0,,2,"OR8U1|ENST00000708996.1, OR8U1|ENST00000302270.1",881,0,43.34,6.25,OK,,,,,
OR8U3,0.00801262,,2,"OR8U3|ENST00000708999.1, OR8U3|ENST00000623286.1",5694,0,39.06,8.85,OK,,,,,
OR8U8,0,,1,OR8U8|ENST00000627176.1,911,0,42.26,6,OK,,,,,
OR8U9,0,,1,OR8U9|ENST00000626074.1,881,0,45.32,9.01,OK,,,,,
OR8V1P,0,,1,OR8V1P|ENST00000395193.2,824,0,36.78,7.07,OK,,,,,
OR8X1P,0,,1,OR8X1P|ENST00000534542.1,820,0,36.71,7.19,OK,,,,,
OR9A1P,0.8563731,,1,OR9A1P|ENST00000484361.1,896,0.88,44.74,6.63,OK,,,,,
OR9A2,0,,1,OR9A2|ENST00000619330.2,989,0,43.89,6.75,OK,,,,,
OR9A3P,0.655414527,,1,OR9A3P|ENST00000485185.1,829,0.57,46.11,6.42,OK,,,,,
OR9A4,0.209874723,,1,OR9A4|ENST00000641559.1,1996,0.25,42.29,10.3,OK,,,,,
OR9G1,0,,2,"OR9G1|ENST00000642097.1, OR9G1|ENST00000573911.1",3847,0,37.97,11.56,OK,,,,,
OR9G2P,0,,2,"OR9G2P|ENST00000625734.1, OR9G2P|ENST00000533326.1",831,0,45.5,6.62,OK,,,,,
OR9G3P,0,,2,"OR9G3P|ENST00000572137.2, OR9G3P|ENST00000525553.1",975,0,50.32,11.01,OK,,,,,
OR9G4,0,,1,OR9G4|ENST00000575017.3,2701,0,38.24,12.28,OK,,,,,
OR9G9,0,,1,OR9G9|ENST00000571130.1,869,0,48.54,11.21,OK,,,,,
OR9H1P,102.7321962,,2,"OR9H1P|ENST00000641506.1, OR9H1P|ENST00000446393.2",4886,112.93,35.9,9.18,OK,,,,,
OR9I1,0,,2,"OR9I1|ENST00000641439.1, OR9I1|ENST00000641478.1",3184,0,40.56,8.44,OK,,,,,
OR9I2P,0,,1,OR9I2P|ENST00000427941.1,854,0,45.09,6.46,OK,,,,,
OR9I3P,0,,1,OR9I3P|ENST00000608484.1,893,0,48.19,8.17,OK,,,,,
OR9K1P,0.482536811,,1,OR9K1P|ENST00000326513.4,1891,0.47,47.79,8.78,OK,,,,,
OR9K2,0,,3,"OR9K2|ENST00000641982.1, OR9K2|ENST00000641329.1, OR9K2|ENST00000641353.1",3355,0,37.34,10.63,OK,,,,,
OR9L1P,0,,1,OR9L1P|ENST00000529493.2,884,0,41.58,5.95,OK,,,,,
OR9M1P,0,,1,OR9M1P|ENST00000459641.1,1056,0,40.66,6.36,OK,,,,,
OR9N1P,0,,1,OR9N1P|ENST00000494289.1,432,0,38.11,4.97,OK,,,,,
OR9P1P,0,,2,"OR9P1P|ENST00000496431.1, OR9P1P|ENST00000634113.1",1353,0,50.02,7.29,OK,,,,,
OR9Q1,0,,1,OR9Q1|ENST00000335397.3,2439,0,43.28,10.82,OK,,,,,
OR9Q2,0,,1,OR9Q2|ENST00000641291.1,3725,0,39.72,11.93,OK,,,,,
OR9R1P,0,,1,OR9R1P|ENST00000412200.1,954,0,38.84,6.27,OK,,,,,
OR9S24P,0,,1,OR9S24P|ENST00000426985.1,354,0,49.75,6.79,OK,,,,,
ORAI1,15.06048079,,2,"ORAI1|ENST00000715685.1, ORAI1|ENST00000698901.1",2925,16.62,60.42,13.53,OK,,,,,
ORAI2,9.418668691,,1,ORAI2|ENST00000482237.5,11242,9.7,57.34,9.05,OK,,,,,
ORAI3,16.99815209,,1,ORAI3|ENST00000318663.5,2686,17.4,61.75,11.69,OK,,,,,
ORC1,5.044945563,,1,ORC1|ENST00000371568.8,3120,5.3,50.2,8.41,OK,,,,,
ORC1P1,0,,1,ORC1P1|ENST00000449607.1,1860,0,34.55,8.76,OK,,,,,
ORC2,18.80724125,,2,"ORC2|ENST00000234296.7, ORC2|ENST00000467605.5",5905,18.31,38.97,8.91,OK,,,,,
ORC3,11.20700225,,1,ORC3|ENST00000546266.5,4138,11.62,37.9,7.83,OK,,,,,
ORC4,179.2616352,,7,"ORC4|ENST00000392857.10, ORC4|ENST00000536575.5, ORC4|ENST00000540442.5, ORC4|ENST00000461711.5, ORC4|ENST00000440042.1, ORC4|ENST00000535373.5, ORC4|ENST00000490200.5",9032,186.38,35.95,7.32,OK,,,,,
ORC5,11.39081652,,2,"ORC5|ENST00000297431.9, ORC5|ENST00000626700.1",3765,11.58,36.98,8.69,OK,,,,,
ORC6,172.7664864,,1,ORC6|ENST00000563599.5,4487,176.34,42.58,12.13,OK,,,,,
ORM1,0,,1,ORM1|ENST00000259396.9,813,0,51.97,5.23,OK,,,,,
ORM2,0,,1,ORM2|ENST00000431067.4,710,0,52.5,6.37,OK,,,,,
ORMDL1,20.85784768,,2,"ORMDL1|ENST00000392349.9, ORMDL1|ENST00000392350.7",4053,21.42,35,8.26,OK,,,,,
ORMDL1P1,0,,1,ORMDL1P1|ENST00000448495.1,390,0,48.08,12.08,OK,,,,,
ORMDL2,33.46357444,,2,"ORMDL2|ENST00000552672.5, ORMDL2|ENST00000243045.10",2774,34.35,48.71,7.19,OK,,,,,
ORMDL3,36.90451671,,2,"ORMDL3|ENST00000579695.5, ORMDL3|ENST00000304046.7",3912,36.51,55.51,7.37,OK,,,,,
OS9,71.79521586,,17,"OS9|ENST00000700664.1, OS9|ENST00000700657.1, OS9|ENST00000700656.1, OS9|ENST00000550699.6, OS9|ENST00000700663.1, OS9|ENST00000700658.1, OS9|ENST00000546916.2, OS9|ENST00000700660.1, OS9|ENST00000700665.1, OS9|ENST00000700661.1, OS9|ENST00000257966.13, OS9|ENST00000552285.6, OS9|ENST00000700659.1, OS9|ENST00000550202.2, OS9|ENST00000700662.1, OS9|ENST00000389146.11, OS9|ENST00000389142.10",9914,71.47,53.04,7.94,OK,,,,,
OSBP,65.07106413,,1,OSBP|ENST00000263847.6,5160,65.48,45.54,7.5,OK,,,,,
OSBP2,2.897499571,,1,OSBP2|ENST00000438716.3,6964,2.9,57.49,9.24,OK,,,,,
OSBPL10,14.35981606,,6,"OSBPL10|ENST00000429492.6, OSBPL10|ENST00000698199.1, OSBPL10|ENST00000396556.7, OSBPL10|ENST00000467647.1, OSBPL10|ENST00000467955.5, OSBPL10|ENST00000485205.5",12480,14.97,48.2,11.96,OK,,,,,
OSBPL11,19.03949621,,1,OSBPL11|ENST00000296220.6,4549,19.76,40.41,9.39,OK,,,,,
OSBPL1A,13.4761046,,4,"OSBPL1A|ENST00000582618.1, OSBPL1A|ENST00000578091.5, OSBPL1A|ENST00000319481.8, OSBPL1A|ENST00000582645.5",8474,13.05,42.94,9.93,OK,,,,,
OSBPL2,27.43437616,,1,OSBPL2|ENST00000615516.1,13880,28.49,50.87,12.13,OK,,,,,
OSBPL3,8.650144168,,1,OSBPL3|ENST00000313367.7,8508,8.19,43.97,10.2,OK,,,,,
OSBPL5,9.984419058,,3,"OSBPL5|ENST00000348039.9, OSBPL5|ENST00000263650.12, OSBPL5|ENST00000533234.5",7683,9.93,63.19,6.9,OK,,,,,
OSBPL6,0.582573467,,2,"OSBPL6|ENST00000359685.7, OSBPL6|ENST00000392505.6",11619,0.6,41.63,9.79,OK,,,,,
